time;depth;gas;tank#;warning
 0:0; 0.0 m / 0 ft; air; 1; 
 0:0; 0.0 m / 0 ft; air; 1; 
 0:4; 2.5 m / 8 ft; air; 1; 
 0:12; 3.9 m / 13 ft; air; 1; 
 0:32; 5.0 m / 17 ft; air; 1; 
 0:48; 6.0 m / 20 ft; air; 1; 
 1:12; 7.7 m / 25 ft; air; 1; 
 1:48; 8.9 m / 29 ft; air; 1; 
 2:8; 9.1 m / 30 ft; air; 1; 
 2:36; 10.7 m / 35 ft; air; 1; 
 2:40; 11.1 m / 37 ft; air; 1; 
 2:48; 10.6 m / 35 ft; air; 1; 
 3:12; 12.1 m / 40 ft; air; 1; 
 3:32; 11.8 m / 39 ft; air; 1; 
 3:48; 11.7 m / 39 ft; air; 1; 
 3:56; 11.2 m / 37 ft; air; 1; 
 4:8; 9.8 m / 32 ft; air; 1; 
 4:16; 10.4 m / 34 ft; air; 1; 
 4:32; 11.4 m / 38 ft; air; 1; 
 4:44; 11.1 m / 37 ft; air; 1; 
 4:52; 10.8 m / 36 ft; air; 1; 
 5:20; 11.6 m / 38 ft; air; 1; 
 5:24; 11.5 m / 38 ft; air; 1; 
 5:28; 10.9 m / 36 ft; air; 1; 
 6:0; 11.5 m / 38 ft; air; 1; 
 6:36; 11.0 m / 36 ft; air; 1; 
 6:48; 11.1 m / 37 ft; air; 1; 
 7:8; 11.7 m / 39 ft; air; 1; 
 7:20; 11.4 m / 38 ft; air; 1; 
 7:28; 12.3 m / 41 ft; air; 1; 
 7:48; 11.3 m / 37 ft; air; 1; 
 7:52; 10.8 m / 36 ft; air; 1; 
 7:56; 11.8 m / 39 ft; air; 1; 
 8:4; 12.6 m / 42 ft; air; 1; 
 8:8; 12.5 m / 41 ft; air; 1; 
 8:16; 11.5 m / 38 ft; air; 1; 
 8:24; 11.7 m / 39 ft; air; 1; 
 8:52; 11.6 m / 38 ft; air; 1; 
 9:4; 12.7 m / 42 ft; air; 1; 
 9:16; 12.7 m / 42 ft; air; 1; 
 9:36; 13.9 m / 46 ft; air; 1; 
 9:56; 14.9 m / 49 ft; air; 1; 
 10:8; 15.8 m / 52 ft; air; 1; 
 10:28; 14.1 m / 47 ft; air; 1; 
 11:4; 10.8 m / 36 ft; air; 1; 
 11:12; 10.3 m / 34 ft; air; 1; 
 11:20; 10.6 m / 35 ft; air; 1; 
 11:36; 9.7 m / 32 ft; air; 1; 
 11:56; 9.5 m / 31 ft; air; 1; 
 12:8; 9.8 m / 32 ft; air; 1; 
 12:48; 7.5 m / 25 ft; air; 1; 
 13:4; 6.9 m / 23 ft; air; 1; 
 13:12; 6.6 m / 22 ft; air; 1; 
 13:20; 6.0 m / 20 ft; air; 1; 
 13:36; 7.4 m / 24 ft; air; 1; 
 13:44; 7.7 m / 25 ft; air; 1; 
 13:52; 8.2 m / 27 ft; air; 1; 
 14:12; 7.7 m / 25 ft; air; 1; 
 14:32; 6.7 m / 22 ft; air; 1; 
 14:48; 6.4 m / 21 ft; air; 1; 
 15:0; 5.9 m / 19 ft; air; 1; 
 15:16; 6.3 m / 21 ft; air; 1; 
 15:24; 6.4 m / 21 ft; air; 1; 
 15:32; 4.8 m / 16 ft; air; 1; 
 15:40; 5.0 m / 17 ft; air; 1; 
 15:52; 5.2 m / 17 ft; air; 1; 
 16:0; 4.6 m / 15 ft; air; 1; 
 16:4; 4.1 m / 14 ft; air; 1; 
 16:20; 3.8 m / 13 ft; air; 1; 
 16:24; 3.4 m / 11 ft; air; 1; 
 16:40; 5.3 m / 17 ft; air; 1; 
 16:52; 5.2 m / 17 ft; air; 1; 
 17:4; 5.0 m / 17 ft; air; 1; 
 17:16; 4.4 m / 15 ft; air; 1; 
 17:24; 4.4 m / 15 ft; air; 1; 
 17:32; 3.6 m / 12 ft; air; 1; 
 17:56; 4.2 m / 14 ft; air; 1; 
 18:4; 3.2 m / 11 ft; air; 1; 
 18:8; 2.8 m / 9 ft; air; 1; 
 18:16; 3.4 m / 11 ft; air; 1; 
 18:36; 4.1 m / 14 ft; air; 1; 
 18:44; 3.8 m / 13 ft; air; 1; 
 18:56; 4.8 m / 16 ft; air; 1; 
 19:20; 4.3 m / 14 ft; air; 1; 
 19:28; 4.7 m / 16 ft; air; 1; 
 19:40; 4.7 m / 16 ft; air; 1; 
 19:44; 4.6 m / 15 ft; air; 1; 
 19:48; 5.3 m / 17 ft; air; 1; 
 19:52; 4.9 m / 16 ft; air; 1; 
 19:56; 5.4 m / 18 ft; air; 1; 
 20:16; 2.5 m / 8 ft; air; 1; 
 20:24; 2.2 m / 7 ft; air; 1; 
 20:32; 2.9 m / 10 ft; air; 1; 
 20:40; 2.5 m / 8 ft; air; 1; 
 21:4; 5.1 m / 17 ft; air; 1; 
 21:8; 5.2 m / 17 ft; air; 1; 
 21:12; 4.8 m / 16 ft; air; 1; 
 21:20; 5.1 m / 17 ft; air; 1; 
 21:28; 4.8 m / 16 ft; air; 1; 
 21:36; 5.6 m / 18 ft; air; 1; 
 22:24; 6.3 m / 21 ft; air; 1; 
 22:44; 6.2 m / 20 ft; air; 1; 
 23:16; 6.7 m / 22 ft; air; 1; 
 23:28; 5.4 m / 18 ft; air; 1; 
 23:40; 3.8 m / 13 ft; air; 1; 
 23:44; 3.8 m / 13 ft; air; 1; 
 23:52; 5.0 m / 17 ft; air; 1; 
 24:4; 5.6 m / 18 ft; air; 1; 
 24:40; 5.8 m / 19 ft; air; 1; 
 25:12; 5.7 m / 19 ft; air; 1; 
 25:20; 5.0 m / 17 ft; air; 1; 
 25:44; 2.1 m / 7 ft; air; 1; 
 25:56; 1.9 m / 6 ft; air; 1; 
 26:4; 2.3 m / 8 ft; air; 1; 
 26:8; 2.6 m / 9 ft; air; 1; 
 26:12; 1.9 m / 6 ft; air; 1; 
 26:20; 2.1 m / 7 ft; air; 1; 
 26:36; 0.1 m / 0 ft; air; 1; 
 26:40; 0.0 m / 0 ft; air; 1; 
 31:20; 0.0 m / 0 ft; air; 1; 
 31:22; 0.0 m / 0 ft; air; 1; 

