"code";"url"
":-)";"http://www.freesmileys.org/smileys/smiley-basic/smile.gif"
":)";"http://www.freesmileys.org/smileys/smiley-basic/smile.gif"
":-(";"http://www.freesmileys.org/smileys/smiley-basic/sad.gif"
":(";"http://www.freesmileys.org/smileys/smiley-basic/huh.gif"
":-/";"http://www.freesmileys.org/smileys/smiley-basic/dry.gif"
":/";"http://www.freesmileys.org/smileys/smiley-basic/dry.gif"
":-|";"http://www.freesmileys.org/smileys/smiley-basic/mellow.gif"
"#-)";"http://www.freesmileys.org/smileys/smiley-violent004.gif"
"X-)";"http://www.freesmileys.org/smileys/smiley-violent004.gif"
":-#";"http://www.freesmileys.org/smileys/smiley-shocked002.gif"
":-X";"http://www.freesmileys.org/smileys/smiley-shocked002.gif"
"8-)";"http://www.freesmileys.org/smileys/smiley-basic/cool.gif"
"\/";"http://www.freesmileys.org/smileys/smiley-char038.gif"
":-^";"http://www.freesmileys.org/smileys/smiley-green/greensmilies-029.gif"
":D";"http://www.freesmileys.org/smileys/smiley-basic/laugh.gif"
":-D";"http://www.freesmileys.org/smileys/smiley-basic/laugh.gif"
#";-)";"http://www.freesmileys.org/smileys/smiley-basic/wink.gif"
#";)";"http://www.freesmileys.org/smileys/smiley-basic/wink.gif"
":0";"http://www.freesmileys.org/smileys/smiley-basic/ohmy.gif"
":P";"http://www.freesmileys.org/smileys/smiley-basic/tongue.gif"
":p";"http://www.freesmileys.org/smileys/smiley-basic/tongue.gif"
"0:-)";"http://www.freesmileys.org/smileys/smiley-basic/angel.gif"
"|-)";"http://www.freesmileys.org/smileys/smiley-basic/lol.gif"
":ROFL:";"http://www.freesmileys.org/smileys/smiley-basic/rofl.gif"
":ROTFL:";"http://www.freesmileys.org/smileys/smiley-basic/rofl.gif"
"?-|";"http://www.freesmileys.org/smileys/smiley-basic/what.gif"
"?-(";"http://www.freesmileys.org/smileys/smiley-basic/what.gif"
